global_step,episode,step_in_episode,action,reward,loss,q_value,epsilon,timestamp
3030,8,284,3,0.0,,0.05888300761580467,0.9940006000001302,2026-01-19T23:07:12.428808
3040,8,294,0,0.0,,0.05847755819559097,0.9939808000001307,2026-01-19T23:07:12.435876
3050,9,1,4,0.0,,0.058556728065013885,0.9939610000001311,2026-01-19T23:07:12.451190
3060,9,11,4,0.0,,0.05861080810427666,0.9939412000001315,2026-01-19T23:07:12.458059
3070,9,21,5,0.0,,0.05853552743792534,0.993921400000132,2026-01-19T23:07:12.464971
3080,9,31,2,0.0,,0.05871141701936722,0.9939016000001324,2026-01-19T23:07:12.472032
3090,9,41,0,0.0,,0.05877862870693207,0.9938818000001328,2026-01-19T23:07:12.478843
3100,9,51,3,0.0,,0.058937590569257736,0.9938620000001332,2026-01-19T23:07:12.486057
3110,9,61,5,0.0,,0.05905251204967499,0.9938422000001337,2026-01-19T23:07:12.493018
3120,9,71,5,0.0,,0.05904410779476166,0.9938224000001341,2026-01-19T23:07:12.499770
3130,9,81,4,0.0,,0.05887386202812195,0.9938026000001345,2026-01-19T23:07:12.506705
3140,9,91,1,0.0,,0.05943552777171135,0.993782800000135,2026-01-19T23:07:12.515740
3150,9,101,0,0.0,,0.058760978281497955,0.9937630000001354,2026-01-19T23:07:12.524236
3160,9,111,3,0.0,,0.05823753774166107,0.9937432000001358,2026-01-19T23:07:12.531964
3170,9,121,0,0.0,,0.05867178738117218,0.9937234000001363,2026-01-19T23:07:12.540389
3180,9,131,3,0.0,,0.05892208218574524,0.9937036000001367,2026-01-19T23:07:12.549712
3190,9,141,0,0.0,,0.05814126878976822,0.9936838000001371,2026-01-19T23:07:12.557061
3200,9,151,1,0.0,,0.058838896453380585,0.9936640000001375,2026-01-19T23:07:12.563834
3210,9,161,3,0.0,,0.05855150148272514,0.993644200000138,2026-01-19T23:07:12.570247
3220,9,171,2,0.0,,0.058739759027957916,0.9936244000001384,2026-01-19T23:07:12.577710
3230,9,181,5,0.0,,0.058556199073791504,0.9936046000001388,2026-01-19T23:07:12.583801
3240,9,191,1,0.0,,0.05851195007562637,0.9935848000001393,2026-01-19T23:07:12.590000
3250,9,201,1,0.0,,0.058911532163619995,0.9935650000001397,2026-01-19T23:07:12.596642
3260,9,211,4,0.0,,0.05904495716094971,0.9935452000001401,2026-01-19T23:07:12.603312
