episode,total_reward,episode_length,avg_loss,avg_q_value,epsilon,timestamp,total_steps,training_time_seconds,eval_reward,buffer_reward_min,buffer_reward_max,buffer_reward_mean,buffer_reward_std
546,400.0,320,0.0011209395161131397,31.885770559310913,0.01,2026-01-23T00:39:03.346557,209255,0.957766056060791,,0.0,5.0,0.008265,0.14562948
547,400.0,324,0.0025578874983693822,33.1438664495945,0.01,2026-01-23T00:39:04.293895,209579,0.9315855503082275,,0.0,5.0,0.00827,0.14563349
548,400.0,324,0.0015265582547084812,47.75892922372529,0.01,2026-01-23T00:39:05.261301,209903,0.9517297744750977,,0.0,5.0,0.00828,0.14574444
549,425.0,326,0.0045556738405139185,30.68575970456004,0.01,2026-01-23T00:39:06.212015,210229,0.9352738857269287,,0.0,5.0,0.008365,0.1464796
550,425.0,327,0.0033355629307152412,42.9025759746631,0.01,2026-01-23T00:39:07.287612,210556,0.9331440925598145,,0.0,5.0,0.00845,0.14721107
551,425.0,326,0.006843854866661679,37.899275317336574,0.01,2026-01-23T00:39:08.245432,210882,0.9420068264007568,,0.0,5.0,0.008535,0.14793885
552,400.0,320,0.0038089084646344418,47.38771903514862,0.01,2026-01-23T00:39:09.180829,211202,0.9199306964874268,,0.0,5.0,0.008545,0.14794675
553,50.0,371,0.0032244033775188858,43.085198170429955,0.01,2026-01-23T00:39:10.263387,211573,1.0667908191680908,,0.0,5.0,0.00844,0.14720316
554,375.0,327,0.002173802278321091,45.99684977531433,0.01,2026-01-23T00:39:11.221290,211900,0.9422845840454102,,0.0,5.0,0.008415,0.14708139
555,25.0,309,0.0014353060323628597,37.581450600777906,0.01,2026-01-23T00:39:12.142566,212209,0.9051969051361084,,0.0,5.0,0.00842,0.14708535
556,25.0,286,0.002771101752711859,33.82553607019885,0.01,2026-01-23T00:39:13.017047,212495,0.8586571216583252,,0.0,5.0,0.008305,0.14632931
557,450.0,404,0.004818516918749083,20.23243235051632,0.01,2026-01-23T00:39:14.191942,212899,1.1592075824737549,,0.0,5.0,0.008385,0.14705764
558,50.0,314,0.00760703790547268,28.1373439647723,0.01,2026-01-23T00:39:15.102900,213213,0.8953602313995361,,0.0,5.0,0.008385,0.14705764
559,100.0,412,0.002211378287202457,49.83578248140289,0.01,2026-01-23T00:39:16.295344,213625,1.176988124847412,,0.0,5.0,0.008335,0.14645572
560,25.0,306,0.0010859672736842185,30.50702476501465,0.01,2026-01-23T00:39:17.183748,213931,0.8727619647979736,,0.0,5.0,0.00834,0.14645971
561,0.0,282,0.002218386599062277,17.334392854145594,0.01,2026-01-23T00:39:18.004966,214213,0.8054218292236328,,0.0,5.0,0.00826,0.14583133
562,425.0,326,0.003443058076300076,34.51158960908651,0.01,2026-01-23T00:39:18.954480,214539,0.9334366321563721,,0.0,5.0,0.008345,0.14656606
563,50.0,270,0.002434459818427318,32.29351305078577,0.01,2026-01-23T00:39:19.755618,214809,0.7857029438018799,,0.0,5.0,0.00828,0.14584732
564,75.0,339,0.004956662314190694,47.01659979539759,0.01,2026-01-23T00:39:20.749167,215148,0.977940559387207,,0.0,5.0,0.00827,0.14583933
565,450.0,401,0.0034668151129153557,29.914062362909316,0.01,2026-01-23T00:39:21.933291,215549,1.1683802604675293,,0.0,5.0,0.00831,0.14653817
566,375.0,317,0.0020372557519294787,40.30315254628658,0.01,2026-01-23T00:39:22.911958,215866,0.9631645679473877,,0.0,5.0,0.008385,0.14726149
567,375.0,316,0.009226947959177778,41.15773704648018,0.01,2026-01-23T00:39:23.849533,216182,0.9218225479125977,,0.0,5.0,0.008435,0.1479615
568,400.0,321,0.0018584213212307077,40.68722228705883,0.01,2026-01-23T00:39:24.820052,216503,0.9542391300201416,,0.0,5.0,0.0085,0.14866994
569,400.0,319,0.0020390562149259495,43.992396023124456,0.01,2026-01-23T00:39:25.776323,216822,0.940026044845581,,0.0,5.0,0.008505,0.14867386
570,375.0,326,0.0049077223429776495,39.45590567588806,0.01,2026-01-23T00:39:26.743085,217148,0.9511315822601318,,0.0,5.0,0.00849,0.14866212
571,0.0,282,0.0012467781665951147,20.07313883304596,0.01,2026-01-23T00:39:27.582869,217430,0.8241631984710693,,0.0,5.0,0.008415,0.14794572
572,25.0,250,0.003659075951873092,25.722052364349366,0.01,2026-01-23T00:39:28.331636,217680,0.7324213981628418,,0.0,5.0,0.008415,0.14794572
573,50.0,434,0.0043179768941957845,48.37306053123691,0.01,2026-01-23T00:39:29.626647,218114,1.2790956497192383,,0.0,5.0,0.008415,0.14794572
574,375.0,330,0.0012823341154109907,28.80322597243569,0.01,2026-01-23T00:39:30.612979,218444,0.9697785377502441,,0.0,3.25,0.00839,0.14697656
575,375.0,330,0.0016378347431782458,41.61958519617716,0.01,2026-01-23T00:39:31.614090,218774,0.9849839210510254,,0.0,3.25,0.008375,0.1468626
576,375.0,326,0.002702429068449419,32.29154655337334,0.01,2026-01-23T00:39:32.618958,219100,0.9890410900115967,,0.0,3.25,0.008445,0.14758027
577,50.0,305,0.000988519238489971,25.149022177342445,0.01,2026-01-23T00:39:33.563012,219405,0.9281866550445557,,0.0,3.25,0.008375,0.1468626
578,50.0,306,0.0017000180552713573,29.426814110048355,0.01,2026-01-23T00:39:34.459719,219711,0.8811004161834717,,0.0,3.25,0.00831,0.14614525
579,25.0,287,0.0019697504467330873,37.55168764931815,0.01,2026-01-23T00:39:35.313967,219998,0.8383522033691406,,0.0,3.25,0.00823,0.1454124
580,375.0,326,0.004879464545999379,39.36200030644735,0.01,2026-01-23T00:39:36.272980,220324,0.9430999755859375,,0.0,3.25,0.00823,0.1454124
581,375.0,324,0.005973494462523377,34.956000447273254,0.01,2026-01-23T00:39:37.233499,220648,0.9443402290344238,,0.0,3.25,0.008275,0.14611733
582,375.0,328,0.007811337392922724,47.31546114430283,0.01,2026-01-23T00:39:38.207702,220976,0.9583320617675781,,0.0,3.25,0.008265,0.14610936
583,125.0,400,0.0037568075233139096,43.16031443849206,0.01,2026-01-23T00:39:39.393917,221376,1.169975996017456,,0.0,3.25,0.008205,0.14539234
584,450.0,401,0.00553509542660322,31.40319711342454,0.01,2026-01-23T00:39:40.585819,221777,1.1761150360107422,,0.0,3.25,0.008225,0.14540839
585,50.0,296,0.005676606970276528,35.50079927444458,0.01,2026-01-23T00:39:41.465994,222073,0.8642945289611816,,0.0,3.25,0.00817,0.14469193
586,375.0,354,0.0032872518349904567,38.24023126874651,0.01,2026-01-23T00:39:42.516490,222427,1.0345373153686523,,0.0,3.25,0.008175,0.14469595
587,400.0,343,0.0026651977035833303,46.7215833383448,0.01,2026-01-23T00:39:43.556863,222770,1.0244014263153076,,0.0,3.25,0.008165,0.14468789
588,375.0,344,0.0018817683585974224,42.49286485399519,0.01,2026-01-23T00:39:44.575613,223114,1.002917766571045,,0.0,3.25,0.008145,0.14467174
589,100.0,400,0.004063346206385177,40.87551820278168,0.01,2026-01-23T00:39:45.750541,223514,1.1591973304748535,,0.0,3.25,0.00808,0.14394341
590,0.0,279,0.004152573108253169,19.409672583852494,0.01,2026-01-23T00:39:46.576031,223793,0.8094711303710938,,0.0,3.25,0.008005,0.14320324
591,375.0,326,0.0031662378441978944,36.53267005085945,0.01,2026-01-23T00:39:47.534440,224119,0.9427917003631592,,0.0,3.25,0.00808,0.14394341
592,100.0,341,0.0028432995621936723,33.92318654060364,0.01,2026-01-23T00:39:48.528414,224460,0.9781370162963867,,0.0,3.25,0.0081,0.14395969
593,50.0,623,0.002993311883074057,75.32056182906742,0.01,2026-01-23T00:39:50.353416,225083,1.8093523979187012,,0.0,3.25,0.00796,0.14248379
594,400.0,324,0.006461604047217406,40.078164771199226,0.01,2026-01-23T00:39:51.302710,225407,0.9336032867431641,,0.0,3.25,0.007965,0.14259318
595,50.0,298,0.006982230158367505,25.055499120553336,0.01,2026-01-23T00:39:52.167259,225705,0.8490278720855713,,0.0,3.25,0.007975,0.14260137
596,400.0,319,0.0034496211792429676,37.279439866542816,0.01,2026-01-23T00:39:53.135312,226024,0.9522039890289307,,0.0,3.25,0.007985,0.14260957
597,75.0,352,0.0033577596563298035,47.983543041774205,0.01,2026-01-23T00:39:54.182119,226376,1.0301334857940674,,0.0,3.25,0.00793,0.14187887
598,375.0,326,0.0032279516145696536,41.37628009102561,0.01,2026-01-23T00:39:55.152086,226702,0.9539575576782227,,0.0,3.25,0.00794,0.14188711
599,400.0,329,0.005596462659013923,37.63945229848226,0.01,2026-01-23T00:40:18.302875,227031,0.9573657512664795,313.5,0.0,3.25,0.008015,0.14263417
600,375.0,354,0.004058864278097947,37.97103342328753,0.01,2026-01-23T00:40:19.503565,227385,1.0580592155456543,,0.0,3.25,0.007955,0.1418995
601,400.0,324,0.00393658179200429,38.379967257380486,0.01,2026-01-23T00:40:20.456618,227709,0.9372289180755615,,0.0,3.25,0.008015,0.14263417
602,0.0,281,0.0043551256281456775,21.198106375123775,0.01,2026-01-23T00:40:21.277495,227990,0.8053712844848633,,0.0,3.25,0.007935,0.141883
603,50.0,349,0.004409564018715173,36.43056520053319,0.01,2026-01-23T00:40:22.293972,228339,1.000941514968872,,0.0,3.25,0.007875,0.14114437
604,50.0,296,0.004051641991827637,39.10047950744629,0.01,2026-01-23T00:40:23.183545,228635,0.8740265369415283,,0.0,3.25,0.00782,0.14040601
605,50.0,393,0.003895857385941781,66.09190596066989,0.01,2026-01-23T00:40:24.316520,229028,1.1167235374450684,,0.0,3.25,0.00774,0.13964273
606,375.0,323,0.006034787438693456,44.787919661763944,0.01,2026-01-23T00:40:25.294298,229351,0.9610962867736816,,0.0,3.25,0.00775,0.13965113
607,375.0,326,0.004802924642717699,41.26152962446213,0.01,2026-01-23T00:40:26.256438,229677,0.9460890293121338,,0.0,3.25,0.007755,0.13965532
608,400.0,367,0.0030855899875812036,48.045429874110866,0.01,2026-01-23T00:40:27.314083,230044,1.042041540145874,,0.0,3.25,0.00777,0.1396679
609,375.0,320,0.0045313035225262865,40.487459033727646,0.01,2026-01-23T00:40:28.245669,230364,0.9156968593597412,,0.0,3.25,0.007775,0.1396721
610,50.0,314,0.0042142658882463975,48.351164264063684,0.01,2026-01-23T00:40:29.176810,230678,0.9152898788452148,,0.0,3.25,0.00777,0.1396679
611,375.0,320,0.003446721193540725,50.045746982097626,0.01,2026-01-23T00:40:30.121210,230998,0.9284679889678955,,0.0,3.25,0.007775,0.1396721
612,75.0,325,0.0034974436532459498,52.54164577252937,0.01,2026-01-23T00:40:31.077056,231323,0.9397845268249512,,0.0,3.25,0.007705,0.13891321
613,400.0,374,0.005498844153609955,49.519272262985645,0.01,2026-01-23T00:40:32.176599,231697,1.08347749710083,,0.0,3.25,0.0077,0.13890898
614,50.0,304,0.00396872222154343,34.52246352934068,0.01,2026-01-23T00:40:33.120019,232001,0.9277119636535645,,0.0,3.25,0.007645,0.1381586
615,400.0,328,0.005212016396399122,43.81752493977547,0.01,2026-01-23T00:40:34.067900,232329,0.9320504665374756,,0.0,3.25,0.007655,0.1381671
616,75.0,329,0.006784408289604471,47.61299613027862,0.01,2026-01-23T00:40:35.020241,232658,0.9364869594573975,,0.0,3.25,0.007595,0.13740836
617,400.0,326,0.0024701583418337736,52.370252565904096,0.01,2026-01-23T00:40:35.964944,232984,0.9288108348846436,,0.0,3.25,0.00759,0.13740411
618,75.0,327,0.003066391160245985,43.879609050172746,0.01,2026-01-23T00:40:36.914403,233311,0.9333734512329102,,0.0,3.25,0.007535,0.13664545
619,75.0,327,0.0021026973372499924,49.6488863825798,0.01,2026-01-23T00:40:37.876255,233638,0.9461126327514648,,0.0,3.25,0.00748,0.13588251
620,400.0,327,0.002353026988738052,45.95438394402013,0.01,2026-01-23T00:40:38.825288,233965,0.9338889122009277,,0.0,3.25,0.00749,0.13589114
621,50.0,342,0.005230652209480896,53.496439148398004,0.01,2026-01-23T00:40:39.808781,234307,0.9675779342651367,,0.0,3.25,0.007425,0.13511522
622,75.0,329,0.004383187924759113,50.82496877150102,0.01,2026-01-23T00:40:40.761621,234636,0.9371843338012695,,0.0,3.25,0.00737,0.13434353
623,75.0,389,0.002610715061018709,58.78441420579568,0.01,2026-01-23T00:40:41.892480,235025,1.1150903701782227,,0.0,3.25,0.007305,0.13367082
